Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count
EarthBi,0,1,3,8,4
Venoty,0,1,5,10,7
Futurepia,0,1,3,6,7
RTREE,0,1,2,8,4
Streamex,0,1,5,10,5
Tipestry,1,1,5,18,6
Betinance,0,0,1,6,6
BitForex,1,1,2,17,6
Coinquista,0,0,1,4,4
AMANPURI,0,1,4,9,6
Atomic Wallet,1,1,1,20,7
Five Colors Coin,0,1,5,8,6
EVEN Foundation,0,1,2,8,8
Konstellation,0,1,1,5,7
Gemstra,0,1,5,10,8
Chelle Coin,1,1,2,14,6
Pukkamex,1,1,1,12,6
AVXChange,0,1,5,8,6
eden.best,0,1,2,6,3
Licht Project,1,1,7,20,7
Trade Nexi,0,1,3,6,10
OpenWeb Network,0,1,2,6,6
Somesing,1,1,0,16,7
Vite,0,1,1,5,9
MADANA,0,1,2,7,7
Knowledge,0,1,5,11,7
Block and Chain,0,1,1,13,9
Monarch,0,1,4,9,6
Ally Network,1,1,3,14,5
Files.fm,0,1,1,7,8
Terra Credit,1,1,1,11,7
Tangle,0,1,3,9,4
Vecap,1,1,4,10,7
Havaex,0,1,3,6,4
FST Network,0,1,4,8,7
Vodi X,0,1,1,14,7
QuarkChain,2,1,2,20,11
Purple Butterfly Trading,0,1,3,6,6
Digitex,2,1,1,18,7
Omnity,1,1,4,16,4
Sheepcoin,0,1,2,4,7
QuiGig,0,1,1,4,5
BitValve,1,1,8,13,4
ARCC,0,1,2,6,7
Verity,0,1,1,14,7
Belacam,0,1,1,10,5
BlocPal,0,0,1,9,7
Mindsync,0,1,7,12,7
Velic,0,1,3,17,7
HighBank,0,1,5,7,8
FortFC,1,1,5,18,7
CurveBlock,0,1,1,6,8
Huddl,0,1,1,8,7
Moozicore,0,1,2,6,7
CryptoSoul,0,1,2,11,8
Nodis,0,1,3,5,5
Solve.Care,1,1,3,10,10
4hiphop,1,1,3,14,3
Almeedex,0,1,3,8,4
Saiterm,0,1,3,7,8
XCOYNZ,0,1,4,11,6
BtcEX,0,1,3,5,5
VANM,0,1,4,9,6
HyperionX,1,0,4,19,9
Crypto Potential,0,1,1,5,6
WOWX,0,1,1,5,7
TriipMiles,1,1,2,15,8
YellowTradingCoin,0,1,1,7,3
Bluenote,0,1,4,8,7
Cogmento,0,1,4,15,5
XPChain,0,1,4,5,7
KRONN,0,1,2,5,2
GLAD Network,0,1,3,9,9
TheVault,0,1,5,9,5
CoinTiger,0,0,2,9,7
Precium Foundation,0,1,2,6,5
Global Cryptocurrency,0,1,1,10,8
Z-POP DREAM,0,1,2,7,7
WHIRL,1,1,3,20,6
Daily Coin News,0,1,2,9,2
BitTorrent,0,1,0,8,10
Hxro,1,0,1,12,4
DACC,0,1,2,6,10
Singh,0,1,2,11,5
POP Network,0,1,8,8,8
MESG,0,1,3,9,7
DataOnBlock,0,1,0,7,5
PROOF OF TOSS,1,1,1,12,8
TerraGreen,1,1,3,17,7
PaxPago,0,1,6,11,7
Afincoin,0,1,7,10,5
The Collective,0,0,5,11,6
LTO Network,0,0,3,8,7
Insights Network,0,1,2,9,7
Cloverdex,0,1,3,6,8
DecentraX,0,1,3,9,7
Volentix,0,1,2,6,8
Energi,0,0,8,16,11
Opu Labs,0,1,1,7,8
ShareMeAll,0,1,6,9,6
MyCryptoBank,1,1,5,18,8
Grailum Lab,0,1,1,11,2
Petchains,0,1,5,8,6
Paradise Token,0,1,5,7,8
Game Fanz,0,1,1,10,7
Konkrete,1,0,5,17,3
KlickZie,0,1,5,8,5
TradePlace,0,1,2,11,8
Ares Tech,0,1,1,5,6
HubrisOne,0,1,4,10,8
PerksCoin,0,1,3,6,6
Sentivate,0,1,6,14,7
Bitcoin Confidential,0,0,0,4,6
Dragonglass,0,1,2,4,10
THORChain,0,1,4,9,7
Griffex,0,1,7,13,6
Accumulus Threat Shield,0,1,5,6,7
EARNET,1,1,4,16,6
MobileGo,1,1,6,21,10
HotelLoad,0,1,3,5,4
DNN,0,1,2,6,7
Playgroundz,0,1,4,11,8
BitSong,1,1,1,18,8
OmniBazaar,0,1,3,12,8
Inmax,0,1,3,7,8
Platon Finance,0,0,4,6,7
idap.io,2,1,1,19,8
Levolution,0,0,6,8,6
Bethereum,0,1,1,7,9
GAMB,0,1,3,9,5
Ice Chain,1,1,3,13,6
Pareto Network,0,1,4,15,11
Solarex,0,1,2,6,7
Spectrum,0,1,2,6,6
Faba,0,1,3,8,8
Indochain,0,1,3,9,8
Liquid (Raffle),1,1,3,20,5
VeganNation,0,1,1,11,5
Dsion,0,1,2,8,5
Tokenville,0,0,3,5,9
Gooreo,0,1,2,4,7
PopulStay,0,1,2,14,8
Uris,0,1,2,7,7
Havven,0,1,1,4,9
CryptoBonusMiles,0,1,1,5,10
Jarvis,0,1,4,6,5
Bancryp,1,1,1,17,5
MEDoctor,0,1,5,7,4
Cubego,0,0,2,9,7
Unification,0,1,4,7,6
Mind AI,0,1,5,12,7
Cures Token,0,1,7,5,5
Mobile Token Bank,0,1,2,6,5
GoDDEX,0,1,3,9,4
SpringRole,1,1,1,14,8
Securypto,0,1,2,7,7
Dolla,0,1,5,11,4
Tune Token,0,1,5,5,7
V SYSTEMS,0,1,3,9,5
OcNet,0,1,2,10,6
Orbise,0,0,5,7,6
Sonata.ai,0,1,4,7,7
Phoneum,0,1,6,13,7
C2C,0,1,3,11,5
BitCanna,0,1,6,10,7
Smart Trade Coin,0,1,3,6,6
Wellmee,1,1,8,19,8
Varius World Tech,0,1,5,8,5
ZenSports,0,1,4,7,5
Raido,0,1,4,9,6
Biton,0,1,3,6,6
Tokedo,1,1,2,8,4
UniFox,0,1,6,12,8
One Solution,0,1,2,6,6
PGF500,0,1,4,9,5
Datafund,0,1,4,13,4
Trippki,0,1,4,11,6
Murmur,0,0,1,4,5
Rewards,1,1,1,17,8
Namacoin,0,1,4,6,6
THE 4TH PILLAR,0,1,3,7,8
QUBAY,0,1,3,10,6
ALLIVE,0,1,4,6,5
Clear Foundation,0,0,7,8,6
TheFund.io,0,1,3,6,7
Qobit,0,1,7,13,7
GAMO Protocol,0,1,6,10,6
Bitozz,0,1,4,6,6
ND Invest,0,1,9,14,7
GG International,0,1,6,9,5
Tradesprite,0,0,5,10,7
VeryFile,0,1,4,6,4
TEMCO,2,1,2,18,6
Social Note,0,1,4,6,7
XRP by Huobi,0,0,0,6,0
X Infinity,0,1,1,5,6
FanChain,0,1,5,8,7
Fidelity House,0,1,3,7,7
Bitcademy,0,1,6,12,8
FiiiCoin,0,1,6,9,6
Platin,0,1,4,5,6
HintChain,0,1,3,6,6
London Block Exchange,0,1,3,7,6
Phoenix,0,1,4,6,7
Athero,0,1,5,6,6
Lition,0,1,4,6,7
SciDex,1,1,4,7,7
Betform,0,1,3,4,8
Yanu,0,1,3,6,8
Little Phil,1,1,7,13,9
Monoreto,0,1,2,10,8
FEEDOCK,0,1,5,9,6
HARA,1,1,3,12,7
Vreo,0,1,4,7,5
HiLynk,0,1,4,7,7
Depository Network,2,1,3,29,4
Platio,0,1,6,9,8
DX.Exchange,0,0,4,12,5
BCoin,0,1,9,14,8
Skrumble Network,1,1,3,6,6
EtherInc,1,1,3,23,9
MyOS,0,0,4,14,5
EurekaPro,0,0,5,9,5
Consensus,0,1,4,6,7
Stox,0,1,2,7,10
Mycro Jobs,0,1,6,10,7
Instant Sponsor,0,1,5,6,6
GoFind.World,0,1,2,4,5
MinedBlock,1,1,4,16,5
Crypt-ON,0,1,4,9,9
CoinJax,0,0,4,8,4
LEXIT,1,1,5,12,6
AIVON,0,1,4,7,6
Archetypal Network,0,1,3,8,7
B21,0,1,1,5,7
Open Packaging Network,0,1,7,17,7
Bistox Exchange,0,0,3,5,6
FortKnoxster,1,1,2,14,8
Connecty,1,1,6,23,7
Truwho,0,1,3,10,7
Hydro Protocol,0,1,4,5,4
Kidbizo,0,1,4,7,4
SIRIN LABS,0,1,4,12,9
Get Achieve,0,1,1,7,8
Bright Network,0,1,4,7,7
Sentinel,1,0,1,10,6
Certified Diamond Coin,0,1,4,8,8
idealcoin,0,1,3,7,6
GOZO,0,1,7,12,6
Smart Refinery Technologies,0,1,4,10,8
Javvy,0,1,3,6,4
STAYGE,0,1,4,8,7
Zulu Republic,0,0,1,5,5
Aelf,0,1,4,0,9
ETH Birds,0,0,1,5,6
weBloc,0,1,2,6,6
Superbloom,0,1,1,5,7
Rise,0,0,4,9,5
Bitsrent,0,1,5,7,5
Cryptocoin Insurance,0,1,4,7,5
Job.com,0,1,1,7,7
Bionic,0,1,0,4,7
Renaissance Engineering,0,1,3,6,6
Cubiex,1,1,5,19,6
Qredit,0,1,3,5,5
DigitalBits,0,0,6,6,5
IUNO,0,1,3,6,8
eMusic,0,1,2,6,7
Restart Energy,0,1,1,5,10
Infinitus,0,1,2,7,6
Lampix,0,1,0,4,9
Magnetics,0,1,1,4,5
AORA,0,1,7,11,7
Sportsfix,1,0,5,14,4
Qlear Protocol,0,1,4,6,5
MorLabs,0,1,4,7,5
WooshCoin,0,1,5,9,5
Coinbates,0,1,1,6,4
ONO,1,1,1,7,6
Triphop,0,1,4,7,4
Neironix,0,1,1,4,7
PowerChain,0,1,3,5,6
Xenia,0,1,4,9,4
Your Data Safe,0,1,7,9,8
Pigzbe,1,1,4,7,7
Balehu Protocol,0,1,6,13,5
Storiqa,0,1,2,6,10
Centaure,2,1,3,12,8
Loopring,0,0,0,14,7
AI Crypto,1,1,4,16,6
SPIN Protocol,0,0,3,7,5
Social Media Pay,0,1,4,6,6
ABBC foundation,0,1,2,6,7
REDi,0,1,3,7,6
LogisticsX,0,1,3,7,5
FasTrader,0,1,4,6,5
TokenBacon,0,1,2,5,8
SUAPP,0,1,8,12,8
DISTRICTS,1,0,2,12,7
ECTA,0,1,4,9,8
Silent Notary,1,1,1,11,8
Centive,0,1,2,6,9
PingPaid,0,1,2,6,6
Becent,0,1,1,7,5
XTribe,0,1,4,7,4
INLOCK,0,1,6,8,8
Krypti,0,1,4,8,5
ASOBI COIN,1,1,5,18,6
Borneo,0,1,5,9,8
Nerves Foundation,0,1,3,5,7
Tatau,0,1,4,12,3
Aenco,0,1,2,5,9
CyberVein,1,1,6,19,8
Karatcoin,0,1,5,7,7
ArtPro,0,1,4,6,8
Penchant,0,1,5,8,4
Parkade,0,1,8,12,6
NonZero,0,1,8,10,8
Cardonio,0,1,4,10,5
Sansox,1,1,4,11,6
Swachhcoin,1,1,5,18,8
Shopin,0,1,5,10,7
Blockkonnect,0,1,3,6,8
dClinic,0,1,3,6,7
X-Cash,0,0,2,10,8
Vibeo,0,1,2,3,7
Masternode Invest,0,1,4,7,7
Topex,0,1,4,6,7
Berminal,0,1,2,4,4
Expanse,0,0,0,5,9
Osmium Investment Coin,1,1,4,15,8
AURA,0,1,3,6,4
WMpro,0,1,2,6,8
Securix,0,1,3,5,8
UDAP,0,1,3,5,6
Olife,0,1,3,7,4
Curaizon,0,1,5,9,6
ODIN,0,1,3,5,5
RedCab,0,1,4,7,8
Contents Protocol,0,1,4,7,5
Beverage Cash,0,1,6,10,5
XMax,0,1,6,7,7
Scienceroot,0,1,1,3,8
Spheroid Universe,0,1,4,9,5
X-Block,0,1,8,6,8
Buying,0,1,4,7,7
One Game,1,1,1,10,8
WOM Token,0,0,5,9,7
Caspian,0,1,4,11,5
iLink2Music,0,1,4,8,5
Natmin Pure Escrow,0,1,6,13,6
Kineticex,0,1,6,10,8
Zwoop,0,1,3,5,6
INDX Capital,0,1,2,6,6
PayX,0,1,3,9,6
Skynet,0,1,5,8,5
LoveBlock,1,0,3,12,5
TTC PROTOCOL,1,1,2,12,6
Bithereum,0,1,6,9,7
MOAC,0,1,5,6,6
Bitfam,0,1,4,8,7
Republia,0,1,5,12,9
FUNKEYpay,0,1,2,6,5
Papusha,0,1,5,9,7
iTrue,0,1,6,7,7
Beam,0,1,3,6,6
KiMex,0,1,6,10,7
Twogap,0,1,4,10,8
LATTICE80,0,0,5,6,5
Florafic,0,1,4,6,5
BitMart,0,1,2,5,7
Efforce,0,1,3,9,8
Spiking,1,1,5,13,9
Bidooh,0,1,3,7,6
imusify,0,1,5,13,9
ICOVO,0,1,4,10,9
Cloudbric,0,1,4,8,7
Tachain,0,1,5,9,6
WorkChain,0,1,5,11,8
BrokerNekoNetwork,0,1,4,9,4
SUBAJ,0,1,2,5,7
Scanetchain,0,1,4,7,6
Payperblock,1,1,3,11,5
Greenlink,0,1,7,15,5
55 Exchange,0,1,4,7,4
Finnoq,0,1,5,10,5
DateMe,0,1,1,4,5
Helios Protocol,1,1,2,13,5
Gravity GZRO,0,0,2,6,5
Gosama,0,1,4,8,6
LaneAxis,1,1,3,10,8
CRYPTTO,0,1,1,12,8
Sleecoin,0,1,1,5,5
NAU,0,1,1,5,7
TrigID,1,1,5,20,7
VeChain,0,1,1,5,10
Avatara,0,1,4,8,7
ODYSSEY,1,1,1,11,8
Rate3,0,1,2,8,11
Bouncy Coin,0,1,4,10,6
AgentMile,2,1,3,23,7
Hirefreehands,0,1,4,7,6
Denarii Cash,0,1,4,13,7
WebDollar,0,1,3,7,7
WeBuy,0,1,4,10,7
MECA Coin,0,1,1,5,5
ABELE GROUP,0,1,3,7,7
AGATE,0,1,3,6,8
Kronos Token,0,1,6,11,6
Wandx,0,1,3,8,6
Envoy,0,0,6,12,6
iRide,0,1,4,8,6
Synthetics AI,0,1,3,9,4
Symphony,0,1,6,11,7
Margin,0,1,3,6,5
GSC Aviation,0,1,1,9,7
Share Internet Data,0,1,4,10,8
MetaHash,0,1,2,6,8
HyperQuant,0,1,2,6,6
Kheper,0,1,3,11,4
Opporty,0,1,1,7,7
Blackbox Foundation,0,1,3,6,9
MedChain,0,1,5,7,6
VIDDO,0,1,3,6,5
GreenHashes,0,1,4,6,4
Pearl Pay,1,1,3,12,5
High Performance Blockchain,0,1,5,7,8
Conference Coin,0,1,4,5,5
YondoCoin,0,1,4,5,7
Kvantor,1,1,4,11,6
Jupiter Chain,0,1,4,7,7
ZeroState,1,1,1,4,8
MapCoin,0,1,2,4,4
EyeGlob.Net,0,1,8,9,7
Crypviser,0,1,2,6,8
MARAChain,1,1,3,13,8
NextPakk,1,1,6,19,7
Distributed Blocks,0,1,2,5,4
Fieldcoin,0,1,6,10,5
VEIAG,0,1,4,8,5
LockTrip,0,0,5,15,9
ZINC,0,1,4,9,5
Spl.yt,0,1,5,9,7
SilkChain,0,1,2,5,8
unitalent,0,1,2,7,7
CareerChain,0,1,5,8,4
CraftR,0,1,2,6,5
Thingschain,0,1,3,5,6
Hashgard,0,1,1,4,6
Daviescoin,0,1,5,6,5
Contractium,0,1,2,0,4
MOBU,0,1,3,8,7
Philanthor,0,1,2,8,7
Medipedia,0,1,3,7,7
TLPAC,0,1,2,5,5
Sports Ledger,0,1,5,16,6
Real Estate Doc,0,1,4,7,5
CAREONchain,0,1,5,12,7
Project H,0,0,1,5,2
DREAM & INDORSE,0,0,2,5,5
BuratinoBS,0,1,6,10,5
OpenBrix,0,1,4,7,6
VU Token,0,0,3,7,9
BolieCoin,0,0,6,7,6
CampusCoin,0,0,3,10,9
RIPAEX,0,0,2,5,7
BlockVest,0,1,5,9,4
NeoPlace,0,0,6,5,5
INTRO,0,1,4,7,8
GStar Ecosystem,0,0,2,6,6
Everipedia,0,0,0,16,6
ZeroBank,0,1,4,7,6
Vidy,0,1,4,13,6
Attrace,0,0,2,5,6
SVPER,0,0,5,5,6
RockerCoin,0,0,3,8,4
Rays Network,0,0,2,6,6
Tokenize,0,0,5,8,5
Dream Real,0,1,5,10,5
Asian Develop Coin,0,0,4,6,9
AIRSTAYZ,0,0,2,5,6
YINC,0,0,5,13,7
BLOXIA,0,1,3,6,5
Color,0,0,6,12,5
Watermelonblock,0,0,3,3,8
Hurtle Coin,0,0,3,5,3
BIGBANG,0,0,7,7,7
Starflow,0,1,5,7,6
MYTC,0,0,1,3,7
Aniko,0,0,3,12,5
W Green Pay,0,0,2,5,6
GUARIUM,0,0,4,7,7
Prime Shipping Foundation,0,1,5,11,5
Propy,0,1,2,6,10
Easy Trading Platform,0,0,0,0,0
DNeT,0,1,2,10,4
Meritt protocol,0,0,0,8,5
STAR BIT,0,0,4,13,5
MulTra,0,0,3,4,8
Expercoin,0,1,2,6,7
Kava,0,0,4,9,5
Bytemine,0,1,2,6,6
UNICO,0,1,3,14,5
Diro,0,1,5,8,7
Gratzio,0,1,5,15,7
Bixtrim,0,1,2,4,7
Inmediate,0,1,5,7,6
JSEcoin,0,1,5,11,8
MediLOT,0,1,2,7,7
PCHAIN,0,0,3,8,7
HELIX Orange,0,1,4,4,6
Shipit,0,1,4,7,7
Miracle Tele,1,0,6,27,5
Runs,0,1,4,7,6
IGNITE,0,1,2,6,4
eLYQD,0,1,4,6,7
Bailsman,0,1,3,7,7
Lambda,0,1,1,5,4
Rubius,0,1,4,7,5
Svandis,0,1,3,4,6
AllSporter,0,0,4,9,6
Playrs,0,1,6,7,6
CoinAnalyst,0,1,1,6,7
Spokkz,0,1,1,5,7
Zantepay,0,1,7,10,7
Cure Cosplay,0,1,2,7,6
WAB Network,0,1,3,5,7
Liquid8,0,1,3,8,5
Fanship,0,1,3,11,6
Inmusik,0,1,6,10,8
CrowdToken,0,1,1,6,6
OSA,0,1,2,10,7
moolyacoin,0,1,3,6,9
Hyperbridge,0,1,3,6,7
TombCare,0,1,1,5,7
Tuurnt,0,1,3,5,6
Usechain,0,1,3,10,8
Storeplex,0,1,4,0,5
ParcelX,0,1,6,12,6
APRES,0,1,3,5,6
Blockhive,0,0,2,7,7
Creatanium,0,1,2,5,4
TradeRiser,0,1,4,13,6
RedCab,0,1,6,10,9
Monopoly,0,1,2,7,8
Sharevest,0,1,4,7,4
Explorio,0,1,3,5,6
EPIPHANY,0,1,2,6,8
BUMO,0,0,2,11,6
Barrel,0,1,4,10,4
CryptoMillionsLotto,0,1,4,6,6
ImmVRse,0,1,3,6,7
Atidium,0,1,0,0,5
DTO,0,1,1,7,8
Provoco,0,1,1,9,6
TraXion,0,1,1,6,7
BitEsprit,0,1,7,12,6
HEROIC.com,0,1,6,13,8
Dench Music,0,1,3,5,7
Versara Trade,0,1,4,6,7
MiBoodle,0,1,3,0,7
HelloGold,0,0,3,5,9
ODMCoin,0,1,2,7,7
Waves,0,1,4,15,11
MEvU,0,1,3,6,6
Casper API,0,1,4,6,8
WAR FIELD,0,1,4,0,6
Leonardian,0,1,1,6,5
Cornucopia,0,1,0,0,3
Tutellus,0,1,3,6,8
Corl,0,1,3,5,6
Prandex,0,0,3,8,6
Dizcovery Network,0,1,1,5,5
BlockFollow,0,1,4,8,6
Grapevine World,0,1,4,7,7
Blockonomics,0,1,2,4,7
Nauticus,0,1,7,10,8
Further Network,0,1,4,10,8
Breezecoin,0,1,4,10,9
RAcoin,0,1,2,7,6
TRESARO,0,1,4,8,8
Wemark,0,1,3,10,8
Setteo,0,1,2,7,6
ERN,0,1,3,12,5
Terawatt,0,1,2,5,8
CryptovationX,0,1,4,6,6
Feedchain,0,1,7,10,7
Basis Neuro,0,1,5,0,5
Staramba,0,1,2,6,6
re:factor,0,1,4,5,8
GreenX,0,1,3,7,7
FTW,0,1,2,6,5
Atlantis Blue,0,1,3,5,5
Parkres,0,1,4,8,7
LendsBay,0,1,5,11,6
0xcert,0,1,3,8,8
Humanscape,0,1,5,12,7
CrowdIF,0,1,1,9,4
VideoCoin,0,1,2,5,6
Nebula,0,1,1,0,4
NeoNameService,0,1,0,0,5
Sparkster,0,1,1,0,7
Buddy,1,1,2,6,6
CrypStock,0,1,1,4,6
Luvdub,0,1,5,4,8
Aworker,0,1,4,8,6
QLC Chain,0,1,1,5,10
Sponsy,0,1,3,7,7
Menlo One,0,1,3,6,7
WeSend,0,1,3,7,6
InsCoin,0,1,5,12,6
ExTrade,0,1,1,0,6
MUXE,0,1,4,8,7
Lina,0,1,3,4,6
Zoidcoin,0,1,3,7,4
Origin Sport,0,1,5,6,7
No BS Crypto,0,0,4,10,5
Cosmecoin,0,1,5,25,7
Railz,0,1,4,7,7
ContentBox,0,1,1,9,4
rLoop,0,0,4,6,6
Bitney,0,1,3,5,6
APIS,0,1,2,13,7
XMED Chain,0,1,3,5,5
IndiCoin,0,1,5,15,9
Nobar,0,1,3,0,5
Coinself,0,1,5,9,7
MAKEAFOLIO,0,1,4,7,5
Iris.ai,0,1,2,5,4
Deedcoin,0,1,2,0,7
DAV,0,1,2,5,8
Find.Exchange,0,1,6,13,7
INGOT Coin,0,1,4,7,7
Profede,0,1,3,7,8
Box 2 Table,0,1,1,6,5
GlobeCas,0,1,2,5,6
GOeureka,0,1,4,0,4
Xeeda,0,1,2,0,5
RecordsKeeper,0,1,4,6,6
DATAVLT,0,1,4,7,6
Jibbit,0,1,2,0,8
Loyakk,0,1,2,7,8
AVINOC,0,1,1,4,3
TokenUnion,0,1,3,8,5
Root Blockchain,0,1,3,6,8
Ormeus Coin,0,1,2,0,7
CryptoRiya,0,1,2,4,7
Mjolnir Guard,0,1,3,11,5
Daox,0,1,4,0,8
PavoCoin,0,1,2,0,6
Brainmab,0,1,2,0,4
Viewo,0,1,3,0,1
FanFare,0,1,3,7,6
Crystals,0,1,2,0,6
XGenomics,0,1,1,0,5
Gese,0,1,5,13,8
ASKfm 2.0,0,1,1,0,6
B2BX,0,1,2,5,7
Lamoneda,0,1,3,6,5
Accounting Blockchain,0,1,3,4,6
Energi Token,0,1,1,5,7
Nebeus,0,1,2,5,5
iRegMed,0,1,2,5,4
Paygine,0,1,2,0,5
Ivy,0,1,1,0,5
Binex.Trade,0,1,1,5,6
Selfie GO,0,1,4,5,7
Clash & GO,0,1,4,5,7
Miner Edge,0,1,4,8,7
Keplertek,0,1,4,11,6
Ink,0,0,2,0,9
Kimera,0,1,5,8,6
Prime Ball,0,0,4,4,4
Aitheon,0,1,3,8,7
TaTaTu,0,1,4,8,5
SupPorter,0,1,4,8,6
Neodium Network,0,1,2,0,4
Acudeen,0,1,4,0,7
EasyLoot,0,0,2,0,8
VIMANA,0,0,2,5,5
DeNet,0,1,2,5,7
Goldma,0,1,5,8,7
Ommer,0,1,4,7,7
Viva Network,0,1,4,13,8
LeadRex,0,1,2,0,6
PO8,0,1,4,0,7
SmartMesh,0,1,1,6,9
ATN,0,1,3,6,6
Luna,0,1,3,7,8
Fenix,0,1,4,8,6
SuccessLife,0,1,2,4,7
Planport,0,1,3,0,3
DateCoin,0,1,2,5,7
ArchiCoin,0,1,5,8,7
CryptoHIT,0,1,4,10,8
JioJioMe,0,1,2,6,4
Genexi,0,1,2,6,8
mCoin,0,1,4,7,6
CONDA,0,1,6,8,8
Koumei,0,1,2,0,5
HODLit Network,0,1,3,0,4
SKYFchain,0,1,2,5,7
Coinyspace,0,1,5,7,5
Fructus,0,1,1,0,5
Horizon,0,1,1,0,5
KanadeCoin,0,0,2,0,5
Xriba,0,0,3,7,5
TowerBee,0,1,2,6,6
MST,0,1,2,0,6
ETHERC,0,0,3,7,6
Elepig,0,1,3,7,4
DINO,0,1,2,4,7
LaborCrypto,0,1,2,0,6
MD Tokens,0,1,2,0,7
BitImage,0,1,1,0,7
Byteball,0,1,1,0,9
GrabAMeal,0,1,5,0,7
GLEDOS,0,1,2,5,7
CarLive Chain,0,0,1,5,7
WONO,0,1,3,6,7
SelfSell,0,1,3,14,7
Acute Coin,0,1,2,8,7
CryptoFlix,0,1,2,6,8
HubToken,0,1,1,5,5
ICO Pass,0,1,1,5,8
Amicorum Live,0,1,2,0,7
Global REIT,0,1,2,5,8
WizeBit,0,1,6,8,7
Zichain,0,1,3,5,7
Tradingene,0,1,2,6,7
OkeyDokey,0,1,2,5,7
Birdchain,0,1,4,7,8
FreelancerCoin,0,0,1,0,5
Blue Whale,0,1,2,5,6
GoldMint,0,1,2,5,9
EvolutionOS,0,1,0,0,6
Linfinity,0,1,2,0,4
Cortex,0,1,3,0,8
Crowd for Angels,0,1,3,11,4
Iconiq Lab,0,1,4,8,8
Arousal,0,1,2,0,3
CGCX,0,1,3,0,6
WULET,0,1,6,11,5
Elysian,0,1,2,4,9
Coinet,0,1,4,8,5
Lancer Network,0,1,4,6,5
Safe Haven,0,1,2,5,8
ARAW Token,0,1,4,0,8
DirectHome,0,1,3,10,8
Buzcoin,0,1,3,6,7
DICEGAME,0,1,4,5,6
BeepBeep Nation,0,1,2,7,4
ABCC Exchange,0,0,2,7,6
Deconet,0,1,6,7,8
DataBlockchain,0,1,2,5,6
CarBlock,0,1,3,0,7
Bulleon,0,1,4,8,8
CoinCrowd,0,1,4,6,6
RankingBall,0,1,5,14,7
Bubbletone,0,1,2,6,7
MPCX,1,1,4,12,7
BlockStorage,0,1,1,4,7
XcelToken Plus,0,1,4,0,7
XCHNG,0,1,3,0,6
TrustLogics,0,1,3,5,6
BitRent,0,1,4,7,9
Free Market Token,0,1,4,6,5
StarChain,0,1,2,7,5
ABitchain,0,0,1,0,4
Check-Car,0,1,1,0,7
AI Gaming,0,1,3,5,6
AbacasXchange,0,1,4,5,8
Ether joy,0,0,3,7,5
Blockport,0,1,3,5,8
ConcertVR,0,1,4,7,6
BitMinutes,0,1,2,5,6
BFEX,0,1,2,4,9
webRunes,0,1,4,9,6
Invest in Brokers,0,1,4,9,7
ApolloChain,0,1,3,0,6
uRunIt,0,1,4,7,6
AllStocks,0,1,1,4,7
CFun,0,1,2,7,6
Coin Governance System,0,1,4,6,5
Cryde,0,1,2,5,5
Belotto,0,1,6,0,8
Terra Virtua,0,1,4,7,7
Olympus Labs,0,1,3,5,9
Proton,0,1,1,5,5
Touch. Social Network,0,1,2,0,5
Zeex,0,1,3,0,7
AutoBay,0,1,4,7,7
CargoChain,0,1,5,8,4
4NEW,0,1,1,0,8
Moveco,0,1,6,7,7
GladAge,0,1,3,6,8
Indorse,0,1,2,0,5
Unboxed,0,1,4,10,5
MetaMorph,0,1,4,6,8
Delicia,0,1,2,11,7
0Chain,1,1,3,11,12
Esports Chain,0,1,1,5,5
Smart Trip Platform,0,1,6,12,6
TrustNote,0,1,1,6,3
Parsec Frontiers,0,1,2,6,8
Mine Coin,0,1,2,5,5
BITRUST,0,1,0,5,6
DeepToken,0,1,4,6,7
Workcoin,0,1,2,0,7
McFly,0,1,3,6,7
CoinMetro,0,1,3,7,8
Kryptono Exchange,0,1,2,5,5
dApp Builder,0,1,3,6,6
PreVUE,0,1,4,8,5
EthicHub Twitter,0,1,2,7,7
Urbit,0,1,3,0,7
Boosto,0,1,2,0,2
Assettoken,0,1,2,0,4
Anything App,0,1,0,6,7
Pointium,0,1,2,0,5
BIOK,0,1,5,6,4
BITMILLEX,0,1,3,5,6
Bidipass,0,1,2,7,5
Sentinel Protocol,0,1,1,0,6
MoneyToken,0,1,5,4,8
Bitsum,0,1,1,6,10
Endorsit,0,1,2,6,3
SDChain,0,1,1,0,4
Mingo,0,1,5,9,8
LibertyLance,0,1,1,7,8
Block Broker,0,1,4,6,6
Hyperion,0,1,2,4,3
Golden Currency,0,1,4,0,8
DigiPulse,0,1,1,5,8
EXCHAIN,0,1,4,6,5
Spindle,0,1,6,3,6
SEDA,0,1,3,5,4
ViValid,0,1,4,5,5
MBYS,0,1,3,0,8
Xenchain,0,1,2,3,5
Kakushin,0,1,2,0,6
EVO,0,1,1,0,4
Strykz,0,1,1,0,5
KELTA,0,1,3,7,6
RAWG,0,1,2,0,6
AICT,0,1,1,5,5
Meshbox,0,1,1,0,5
eosDAC,0,0,0,0,7
EatMeCoin,0,1,4,0,4
Superset,0,1,1,3,5
Coinpaws,0,1,2,7,3
Trident Group,0,0,3,7,5
Prontapay,0,1,4,6,8
Akaiito,0,1,4,0,5
SmartO,0,1,4,0,8
ENTRY,0,1,1,9,9
Digitize,0,1,2,6,8
